strain,cell_area(um^2)
yHRW134,45.676
yHRW134,39.853
yHRW134,35.324
yHRW134,43.864
yHRW134,75.436
yHRW134,39.982
yHRW134,43.864
yHRW134,30.278
yHRW134,49.946
yHRW134,34.16
yHRW134,131.981
yHRW134,57.968
yHRW134,39.724
yHRW134,49.687
yHRW134,76.212
yHRW134,43.994
yHRW134,132.24
yHRW134,47.746
yHRW134,37.524
yHRW134,28.337
yHRW134,72.978
yHRW134,40.112
yHRW134,31.054
yHRW134,32.478
yHRW134,28.596
yHRW134,34.16
yHRW134,40.629
yHRW134,21.091
yHRW134,35.712
yHRW134,33.772
yHRW134,29.76
yHRW134,42.182
yHRW134,78.93
yHRW134,27.69
yHRW134,88.893
yHRW134,40.629
yHRW134,65.085
yHRW134,30.925
yHRW134,25.49
yHRW134,53.827
yHRW134,39.077
yHRW134,53.698
yHRW134,35.583
yHRW134,43.088
yHRW134,70.002
yHRW134,58.486
yHRW134,38.042
yHRW134,46.84
yHRW134,53.31
yHRW134,38.688
yHRW134,71.166
yHRW134,39.077
yHRW134,20.185
yHRW134,35.454
yHRW134,27.173
yHRW134,35.065
yHRW134,33.642
yHRW134,37.783
yHRW134,22.644
yHRW134,57.58
yHRW134,41.665
yHRW134,38.43
yHRW134,42.829
yHRW134,77.636
yHRW134,39.594
yHRW134,30.278
yHRW134,52.922
yHRW134,29.113
yHRW134,31.184
yHRW134,25.749
yHRW134,NA
yHRW134,NA
yHRW134,NA
yHRW134,NA
yHRW134,NA
yHRW134,NA
yHRW134,NA
yHRW134,NA
yHRWh22,84.105
yHRWh22,86.693
yHRWh22,100.021
yHRWh22,79.059
yHRWh22,81.259
yHRWh22,89.152
yHRWh22,82.941
yHRWh22,60.168
yHRWh22,82.682
yHRWh22,99.891
yHRWh22,61.332
yHRWh22,86.434
yHRWh22,82.811
yHRWh22,56.674
yHRWh22,87.599
yHRWh22,92.645
yHRWh22,112.572
yHRWh22,91.74
yHRWh22,69.225
yHRWh22,31.572
yHRWh22,26.008
yHRWh22,73.107
yHRWh22,118.265
yHRWh22,143.626
yHRWh22,115.548
yHRWh22,65.214
yHRWh22,100.797
yHRWh22,105.067
yHRWh22,67.284
yHRWh22,68.061
yHRWh22,89.022
yHRWh22,121.888
yHRWh22,64.438
yHRWh22,71.813
yHRWh22,87.599
yHRWh22,71.425
yHRWh22,91.74
yHRWh22,49.169
yHRWh22,104.291
yHRWh22,66.896
yHRWh22,50.593
yHRWh22,82.941
yHRWh22,75.695
yHRWh22,52.922
yHRWh22,31.442
yHRWh22,26.008
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh22,NA
yHRWh24,115.548
yHRWh24,63.144
yHRWh24,107.784
yHRWh24,71.813
yHRWh24,92.645
yHRWh24,91.869
yHRWh24,59.262
yHRWh24,76.859
yHRWh24,26.267
yHRWh24,69.613
yHRWh24,90.057
yHRWh24,57.968
yHRWh24,24.973
yHRWh24,71.295
yHRWh24,62.626
yHRWh24,69.872
yHRWh24,108.043
yHRWh24,87.081
yHRWh24,93.939
yHRWh24,74.013
yHRWh24,31.184
yHRWh24,25.879
yHRWh24,138.58
yHRWh24,105.326
yHRWh24,115.289
yHRWh24,87.34
yHRWh24,109.466
yHRWh24,67.931
yHRWh24,130.946
yHRWh24,78.153
yHRWh24,69.096
yHRWh24,133.016
yHRWh24,63.403
yHRWh24,76.601
yHRWh24,80.482
yHRWh24,83.07
yHRWh24,65.732
yHRWh24,88.634
yHRWh24,58.356
yHRWh24,70.649
yHRWh24,88.375
yHRWh24,61.85
yHRWh24,72.072
yHRWh24,66.896
yHRWh24,23.291
yHRWh24,90.446
yHRWh24,31.701
yHRWh24,26.396
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh24,NA
yHRWh39,50.722
yHRWh39,68.061
yHRWh39,81.129
yHRWh39,71.425
yHRWh39,74.142
yHRWh39,38.171
yHRWh39,56.027
yHRWh39,43.088
yHRWh39,48.911
yHRWh39,51.498
yHRWh39,78.541
yHRWh39,108.302
yHRWh39,44.252
